station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.0056179775280898875,178,4,18.47704597748816,5.0,3.056179775280899,1.6360294117647058,1.0,1.8370786516853932,0.5443425076452599,0.0449438202247191,0.0,0.056179775280898875,0.0,-20.28169,-52.5,True,0.0,0.0
-20.28169_-55.0,0.005555555555555556,180,7,6.865327502600849,1.0,2.8833333333333333,0.3468208092485549,1.0,1.738888888888889,0.5750798722044729,0.03333333333333333,0.0,0.07222222222222222,0.07692307692307693,-20.28169,-55.0,True,0.0,13.846153846153847
-20.28169_-57.5,0.00546448087431694,183,4,27.412280905991793,1.0,2.6666666666666665,0.375,7.0,1.7868852459016393,3.9174311926605503,0.03278688524590164,0.0,0.07103825136612021,0.0,-20.28169,-57.5,True,0.0,0.0
-20.28169_-60.0,0.0055248618784530384,181,6,11.785547621548176,4.0,2.6464088397790055,1.511482254697286,1.0,1.6298342541436464,0.6135593220338983,0.049723756906077346,0.0,0.049723756906077346,0.0,-20.28169,-60.0,True,0.0,0.0
-20.28169_-62.5,0.005494505494505495,182,7,35.8564012683928,4.0,2.401098901098901,1.665903890160183,1.0,1.6483516483516483,0.6066666666666667,0.027472527472527472,0.0,0.06593406593406594,0.0,-20.28169,-62.5,True,0.0,0.0
-20.28169_-65.0,0.0055248618784530384,181,8,11.290623480454087,1.0,2.453038674033149,0.40765765765765766,7.0,1.7734806629834254,3.9470404984423677,0.03314917127071823,0.0,0.07734806629834254,0.0,-20.28169,-65.0,True,0.0,0.0
-20.28169_-67.5,0.0055248618784530384,181,1,2.8282454470172524,1.0,2.6353591160220993,0.37945492662473795,1.0,1.7458563535911602,0.5727848101265823,0.04419889502762431,0.0,0.049723756906077346,0.1111111111111111,-20.28169,-67.5,True,0.0,20.11111111111111
-20.28169_-70.0,0.005434782608695652,184,1,1.00072065833956,1.0,2.489130434782609,0.4017467248908297,3.0,1.9673913043478262,1.5248618784530386,0.06521739130434782,0.0,0.043478260869565216,0.0,-20.28169,-70.0,True,0.0,0.0
-21.549295_-52.5,0.0056179775280898875,178,9,12.005028175190091,2.0,2.8876404494382024,0.6926070038910506,1.0,1.7640449438202248,0.5668789808917197,0.05056179775280899,0.1111111111111111,0.06741573033707865,0.0,-21.549295,-52.5,True,19.77777777777778,0.0
-21.549295_-55.0,0.0056179775280898875,178,7,22.68899381160736,1.0,2.99438202247191,0.3339587242026267,7.0,1.7752808988764044,3.9430379746835444,0.03932584269662921,0.0,0.06179775280898876,0.0,-21.549295,-55.0,True,0.0,0.0
-21.549295_-57.5,0.0055248618784530384,181,7,36.439640913158655,1.0,2.7955801104972378,0.3577075098814229,7.0,1.7734806629834254,3.9470404984423677,0.03867403314917127,0.0,0.0718232044198895,0.0,-21.549295,-57.5,True,0.0,0.0
