station,extreme_pp_rate,days_total,days_with_pp,extreme_pp_value,avg_increasing_chain_length_for_extremes,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes_norm,avg_high_t_chain_length_for_extremes,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes_norm,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,lat,lon,is_land,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm
-20.28169_-52.5,0.005434782608695652,184,3,32.101493049412966,1.0,3.3206521739130435,0.3011456628477905,1.0,1.9565217391304348,0.5111111111111111,0.03804347826086957,0.0,0.06521739130434782,0.08333333333333333,-20.28169,-52.5,True,0.0,15.333333333333332
-20.28169_-55.0,0.005434782608695652,184,2,20.977647230029106,7.0,3.4456521739130435,2.031545741324921,1.0,2.010869565217391,0.4972972972972973,0.021739130434782608,0.0,0.07608695652173914,0.0,-20.28169,-55.0,True,0.0,0.0
-20.28169_-57.5,0.005434782608695652,184,2,18.935434659942985,1.0,3.0652173913043477,0.3262411347517731,1.0,1.7445652173913044,0.573208722741433,0.021739130434782608,0.0,0.07608695652173914,0.0,-20.28169,-57.5,True,0.0,0.0
-20.28169_-60.0,0.00546448087431694,183,5,59.87630719318986,2.0,2.8961748633879782,0.690566037735849,1.0,1.7322404371584699,0.5772870662460569,0.03825136612021858,0.0,0.07103825136612021,0.0,-20.28169,-60.0,True,0.0,0.0
-20.28169_-62.5,0.005555555555555556,180,4,35.31916538486257,2.0,2.5722222222222224,0.7775377969762418,1.0,1.6222222222222222,0.6164383561643836,0.027777777777777776,0.0,0.07222222222222222,0.0,-20.28169,-62.5,True,0.0,0.0
-20.28169_-65.0,0.005494505494505495,182,5,17.35679676057771,2.0,2.3461538461538463,0.8524590163934426,1.0,1.7802197802197801,0.5617283950617284,0.027472527472527472,0.0,0.06593406593406594,0.0,-20.28169,-65.0,True,0.0,0.0
-20.28169_-67.5,0.005555555555555556,180,3,26.285931339953095,2.0,2.988888888888889,0.6691449814126395,1.0,1.7222222222222223,0.5806451612903225,0.05,0.0,0.05,0.0,-20.28169,-67.5,True,0.0,0.0
-20.28169_-70.0,0.00546448087431694,183,2,13.3413236704655,1.0,2.7868852459016393,0.3588235294117647,1.0,1.8688524590163935,0.5350877192982456,0.04371584699453552,0.0,0.06557377049180328,0.0,-20.28169,-70.0,True,0.0,0.0
-20.28169_-75.0,0.005434782608695652,184,1,1.6738576290663332,3.0,5.016304347826087,0.5980498374864572,3.0,1.9184782608695652,1.5637393767705383,0.043478260869565216,0.0,0.05434782608695652,0.0,-20.28169,-75.0,False,0.0,0.0
-21.549295_-52.5,0.005494505494505495,182,4,12.262905127136037,6.0,3.0824175824175826,1.946524064171123,1.0,1.7967032967032968,0.5565749235474006,0.038461538461538464,0.0,0.06593406593406594,0.0,-21.549295,-52.5,True,0.0,0.0
-21.549295_-55.0,0.005434782608695652,184,5,25.615003891289234,1.0,3.032608695652174,0.32974910394265233,1.0,1.9673913043478262,0.5082872928176796,0.02717391304347826,0.0,0.07608695652173914,0.0,-21.549295,-55.0,True,0.0,0.0
